tokenchunk1,tokenchunk2,label
exploded,injured,BEFORE
exploded,can see,BEFORE
went,said,BEFORE
said,refused to identify,BEFORE
exploded,said,BEFORE
injured,said,BEFORE
said,injured,AFTER
killing,said,BEFORE
exploded,killing,IBEFORE
Terrorist bombings,The suspected car bombings,IDENTITY
Terrorist bombings,attack,INCLUDES
was expected to rise,said,BEFORE
said,broke,SIMULTANEOUS
Terrorist bombings,missing,BEFORE
more than 1COMMA700 injured,broke,BEFORE
were killed,more than 1COMMA700 injured,SIMULTANEOUS
Terrorist bombings,were killed,IBEFORE
1COMMA643 wounded,said,BEFORE
were killed,1COMMA643 wounded,SIMULTANEOUS
The blast,1COMMA643 wounded,BEFORE
The blast,were killed,BEFORE
The blast,toppling,BEFORE
appears to have been,said,BEFORE
appears to have been,attack,AFTER
The suspected car bombings,turning,BEFORE
Terrorist bombings,trapping,BEFORE
Terrorist bombings,blew,INCLUDES
said,plagues,AFTER
may have prevented,swaying,AFTER
shook,may have prevented,AFTER
12 Injured,542 Treated,BEFORE
the bombings,0 Injured,IBEFORE
542 Treated,discharged :,BEFORE
the bombings,542 Treated,BEFORE
the bombings,12 Injured,IBEFORE
the bombings,claimed,BEFORE
the bombings,said,BEFORE
the bombings,extend,BEFORE
the bombings,offered,BEFORE
claimed,injured,SIMULTANEOUS
the bombings,injured,IBEFORE
the bombings,claimed,IBEFORE
the bombings,these outrages,IDENTITY
the bombings,the bombings,IDENTITY
murder and maiming,murder and maiming,IDENTITY
these outrages,murder and maiming,IDENTITY
condemned,offered,SIMULTANEOUS
the suppression,said,AFTER
The incidents,the maintenance,BEFORE
the conviction,the punishment,BEFORE
the arrest,the conviction,BEFORE
The incidents,the arrest,AFTER
The incidents,the suppression,BEFORE
the bombing,The incidents,IDENTITY
killed,injured,SIMULTANEOUS
attacks,killed,IBEFORE
the QUOTQUOT terrorist bomb attacks,attacks,IDENTITY
A resolution,to refrain,BEGINS
A resolution,stresses,INCLUDES
the terrorist bomb attacks,the QUOTQUOT terrorist bomb attacks,IDENTITY
A resolution,condemns,INCLUDES
the bombing,the terrorist bomb attacks,IDENTITY
A resolution,the terrorist bomb attacks,AFTER
A resolution,expresses,INCLUDES
A resolution,adopted,INCLUDES
called,finding,AFTER
called,to cooperate,AFTER
condemned,called,IAFTER
condemned,the bombing,AFTER
were flown,been urged to leave,BEFORE
the bombings,the Africa bombings,IDENTITY
_ left,the Africa bombings,AFTER
bombing,the bombing,IDENTITY
questioning,the bombing,AFTER
said,questioning,AFTER
more arrests,had been made,IS_INCLUDED
denied,more arrests,AFTER
said,would not elaborate,BEFORE
would not elaborate,comment,SIMULTANEOUS
m not going to draw,conclusions,INCLUDES
said,had led,AFTER
the interrogations,had led,BEFORE
has questioned,the interrogations,IS_INCLUDED
said,but indicated,BEFORE
the FBI investigation,has questioned,INCLUDES
said,has questioned,AFTER
These bombings,the FBI investigation,AFTER
will not cause,declared,AFTER
These bombings,will not cause,BEFORE
a joint news conference,declared,INCLUDES
the bombings,These bombings,IDENTITY
told,said,IDENTITY
urged,told,BEFORE
urged,should continue visiting and investing,BEFORE
urged,to tell,BEFORE
a joint news conference,urged,INCLUDES
has not generated,said,BEFORE
The bomb blast,has not generated,BEFORE
the bombings,The bomb blast,IDENTITY
the bombings,the rescue,BEFORE
a joint news conference,the rescue,AFTER
speaking,said,IDENTITY
speaking,a joint news conference,IS_INCLUDED
the bombings,the bombings,IDENTITY
were dealt,the bombings,BEGUN_BY
are counting,were dealt,AFTER
the Aug. 7 terrorist blasts,are counting,BEGINS
to pay,to compensate,INCLUDES
to approve,to compensate,BEFORE
to approve,to pay,BEFORE
pledged to ask,pledged to ask,BEFORE
pledged to ask,to approve,BEFORE
announced,pledged to ask,BEFORE
meeting,pledged to ask,INCLUDES
meeting,announced,IS_INCLUDED
meeting,told,INCLUDES
lavished,meeting,BEFORE
helped hang,lavished,IBEFORE
helped hang,the bombers QUOT arrest,BEFORE
were allowed,helped hang,BEFORE
toured,found,INCLUDES
bombing,the explosion,AFTER
were allowed,the explosion,AFTER
toured,were allowed,INCLUDES
COMMA wearing,toured,DURING
handed,toured,BEFORE
handed,COMMA wearing,BEFORE
laid,handed,BEFORE
the embassy blast,killed,IBEFORE
the Aug. 7 terrorist blasts,the embassy blast,IDENTITY
left,the embassy blast,AFTER
laid,left,AFTER
spent,laid,INCLUDES
a five-hour visit,returning,BEFORE
meet,a five-hour visit,IS_INCLUDED
talk,a five-hour visit,IS_INCLUDED
was scheduled to lay,a five-hour visit,IS_INCLUDED
talk,meet,BEFORE
talk,survived,AFTER
the Aug. 7 terrorist blasts,the blast,IDENTITY
survived,the blast,AFTER
was scheduled to lay,talk,BEFORE
heading,was scheduled to lay,BEFORE
had flown,Washington overheated,BEFORE
heading,Washington overheated,AFTER
heading,had flown,AFTER
a 16-hour flight,had flown,IDENTITY
spent,heading,BEFORE
arriving,a 16-hour flight,IAFTER
a whirlwind visit,arriving,INCLUDES
implicated,questioning,IS_INCLUDED
had not admitted,questioning,IS_INCLUDED
had not admitted,implicated,IBEFORE
the bombings,the crimes,IDENTITY
was returned,had not admitted,AFTER
said,was returned,AFTER
bombing,the bombings,IDENTITY
arrived,pushed,SIMULTANEOUS
the Aug. 7 terrorist blasts,killed,INCLUDES
bombing,the Aug. 7 terrorist blasts,IDENTITY
arrived,hoped,IBEFORE
told,arrived,BEFORE
promise to bring to justice,told,IS_INCLUDED
and promised to track,promise to bring to justice,IDENTITY
a whirlwind visit,and promised to track,INCLUDES
paid,a whirlwind visit,IS_INCLUDED
cruise missile strikes,struck,IDENTITY
said,struck,AFTER
The embassy bombings,the embassy attacks,IDENTITY
said,the embassy attacks,AFTER
killed,injured,DURING
The embassy bombings,injured,IBEFORE
The embassy bombings,killed,IBEFORE
terrorist bombings,The embassy bombings,IDENTITY
has taken,said,BEFORE
understands,said,IS_INCLUDED
New Zealand appreciates,understands,SIMULTANEOUS
New Zealand appreciates,said,IS_INCLUDED
to defend,said,AFTER
said,said,IDENTITY
launched,cruise missile strikes,BEGINS
Retaliating,launched,INCLUDES
terrorist bombings,the deadly embassy bombings,IDENTITY
Retaliating,the deadly embassy bombings,AFTER
terrorist bombings,QUOTQUOT show,BEGINS
said,QUOTQUOT show,AFTER
said,terrorist bombings,AFTER
said,said,IDENTITY
said,U.S. missile attacks,AFTER
to defend,U.S. missile attacks,IDENTITY
to defend,said,BEFORE
to defend,terrorist actions,AFTER
The blast,both bombings,IDENTITY
an explosion,both bombings,IDENTITY
has risen,said,BEFORE
the Tanzania blast,has risen,BEFORE
an explosion,the Tanzania blast,IDENTITY
an explosion,ripped,INCLUDES
The blast,an explosion,SIMULTANEOUS
the blast scene,The blast,IDENTITY
His trip,said,AFTER
the slated visit,His trip,IDENTITY
had been talking,the slated visit,BEFORE
the blast scene,had been talking,AFTER
was hospitalized,said,BEFORE
the blast scene,was hospitalized,BEFORE
continued,the relocation,INCLUDES
the car bombing,the blast scene,IDENTITY
continued,the blast scene,BEFORE
shattered,toppled,SIMULTANEOUS
damaged,shattered,SIMULTANEOUS
the blast,toppled,IBEFORE
the blast,shattered,IBEFORE
the blast,damaged,IBEFORE
was cut,the blast,IAFTER
the car bombing,the blast,IDENTITY
met,told,BEFORE
met,to finish,INCLUDES
killing,wounding,SIMULTANEOUS
went,wounding,IBEFORE
went,killing,IBEFORE
the car bombing,went,IDENTITY
were talking,went,DURING
ended,were talking,BEFORE
were interrupted,the car bombing,BEGUN_BY
talks,were interrupted,AFTER
Wednesday COMMA meeting,finish,INCLUDES
wrapped,Wednesday COMMA meeting,IS_INCLUDED
raided,the bombings,AFTER
the bombings,the bombings,IDENTITY
Nearly simultaneous bombings,the bombings,IDENTITY
raided,searched,BEFORE
exploded,were transported,AFTER
the Kenya bombing,exploded,IDENTITY
have said,had originated,AFTER
the bombing,had originated,AFTER
had originated,were transferred,BEFORE
the bombing,carried,AFTER
QUOTQUOT having determined,carried,AFTER
extraordinary discoveries,QUOTQUOT having determined,AFTER
said,extraordinary discoveries,AFTER
allege,the attacks,AFTER
Nearly simultaneous bombings,the attacks,IDENTITY
have been handed,trial,BEFORE
the Kenya bombing,have been handed,BEFORE
killed,were killed,IDENTITY
killed,killed,IDENTITY
Nearly simultaneous bombings,and injured,IBEFORE
Nearly simultaneous bombings,killed,IBEFORE
gave,could not be reached,BEFORE
expelled,the expulsions,IDENTITY
were deported,the expulsions,IDENTITY
said,gave,INCLUDES
were deported,said,BEFORE
were not disclosed,said,BEFORE
were not disclosed,were deported,BEFORE
escorted,said,BEFORE
expelled,a flight,INCLUDES
put,a flight,BEFORE
expelled,put,INCLUDES
escorted,put,BEFORE
expelled,escorted,INCLUDES
were questioned,the bombing,AFTER
expelled,were questioned,AFTER
expelled,reported,BEFORE
said,will report,BEFORE
will consider helping set,will consider helping set,BEFORE
meeting,will consider helping set,BEFORE
the bombing,bombing victims,IDENTITY
meeting,bombing victims,AFTER
worked,a bombing,AFTER
were killed,a bombing,IAFTER
killed,and injured,SIMULTANEOUS
The bombings,and injured,IBEFORE
The bombings,killed,IBEFORE
prepare to meet,future medical disasters,AFTER
want to help,prepare to meet,BEFORE
said,want to help,INCLUDES
suffered,the bombing,BEGUN_BY
to help,suffered,AFTER
