token1,token2,lemma1,lemma2,label
exploded,injured,explode,injure,BEFORE
exploded,see,explode,see,BEFORE
went,said,go,say,BEFORE
said,refused,say,refuse,BEFORE
exploded,said,explode,say,BEFORE
injured,said,injure,say,BEFORE
said,injured,say,injure,AFTER
killing,said,kill,say,BEFORE
exploded,killing,explode,kill,IBEFORE
bombings,bombings,bombing,bombing,IDENTITY
bombings,attack,bombing,attack,INCLUDES
expected,said,expect,say,BEFORE
said,broke,say,break,SIMULTANEOUS
bombings,missing,bombing,miss,BEFORE
injured,broke,injure,break,BEFORE
killed,injured,kill,injure,SIMULTANEOUS
bombings,killed,bombing,kill,IBEFORE
wounded,said,wounded,say,BEFORE
killed,wounded,kill,wounded,SIMULTANEOUS
blast,wounded,blast,wounded,BEFORE
blast,killed,blast,kill,BEFORE
blast,toppling,blast,toppling,BEFORE
appears,said,appear,say,BEFORE
appears,attack,appear,attack,AFTER
bombings,turning,bombing,turn,BEFORE
bombings,trapping,bombing,trapping,BEFORE
bombings,blew,bombing,blow,INCLUDES
said,plagues,say,plague,AFTER
prevented,swaying,prevent,sway,AFTER
shook,prevented,shake,prevent,AFTER
Injured,Treated,injured,treated,BEFORE
bombings,Injured,bombing,injured,IBEFORE
Treated,discharged,treated,discharge,BEFORE
bombings,Treated,bombing,treated,BEFORE
bombings,Injured,bombing,injured,IBEFORE
bombings,claimed,bombing,claim,BEFORE
bombings,said,bombing,say,BEFORE
bombings,extend,bombing,extend,BEFORE
bombings,offered,bombing,offer,BEFORE
claimed,injured,claim,injure,SIMULTANEOUS
bombings,injured,bombing,injure,IBEFORE
bombings,claimed,bombing,claim,IBEFORE
bombings,outrages,bombing,outrage,IDENTITY
bombings,bombings,bombing,bombing,IDENTITY
murder,maiming,murder,maiming,IDENTITY
outrages,murder,outrage,murder,IDENTITY
condemned,offered,condemn,offer,SIMULTANEOUS
suppression,said,suppression,say,AFTER
incidents,maintenance,incident,maintenance,BEFORE
conviction,punishment,conviction,punishment,BEFORE
arrest,conviction,arrest,conviction,BEFORE
incidents,arrest,incident,arrest,AFTER
incidents,suppression,incident,suppression,BEFORE
bombing,incidents,bombing,incident,IDENTITY
killed,injured,kill,injure,SIMULTANEOUS
attacks,killed,attack,kill,IBEFORE
attacks,attacks,attack,attack,IDENTITY
resolution,refrain,resolution,refrain,BEGINS
resolution,stresses,resolution,stress,INCLUDES
attacks,attacks,attack,attack,IDENTITY
resolution,condemns,resolution,condemn,INCLUDES
bombing,attacks,bombing,attack,IDENTITY
resolution,attacks,resolution,attack,AFTER
resolution,expresses,resolution,express,INCLUDES
resolution,adopted,resolution,adopt,INCLUDES
called,finding,call,find,AFTER
called,cooperate,call,cooperate,AFTER
condemned,called,condemn,call,IAFTER
condemned,bombing,condemn,bombing,AFTER
flown,urged,fly,urge,BEFORE
bombings,bombings,bombing,bombing,IDENTITY
left,bombings,leave,bombing,AFTER
bombing,bombing,bombing,bombing,IDENTITY
questioning,bombing,question,bombing,AFTER
said,questioning,say,question,AFTER
arrests,made,arrest,make,IS_INCLUDED
denied,arrests,deny,arrest,AFTER
said,elaborate,say,elaborate,BEFORE
elaborate,comment,elaborate,comment,SIMULTANEOUS
draw,conclusions,draw,conclusion,INCLUDES
said,led,say,lead,AFTER
interrogations,led,interrogation,lead,BEFORE
questioned,interrogations,question,interrogation,IS_INCLUDED
said,indicated,say,indicate,BEFORE
investigation,questioned,investigation,question,INCLUDES
said,questioned,say,question,AFTER
bombings,investigation,bombing,investigation,AFTER
cause,declared,cause,declare,AFTER
bombings,cause,bombing,cause,BEFORE
conference,declared,conference,declare,INCLUDES
bombings,bombings,bombing,bombing,IDENTITY
told,said,tell,say,IDENTITY
urged,told,urge,tell,BEFORE
urged,continue,urge,continue,BEFORE
urged,tell,urge,tell,BEFORE
conference,urged,conference,urge,INCLUDES
generated,said,generate,say,BEFORE
blast,generated,blast,generate,BEFORE
bombings,blast,bombing,blast,IDENTITY
bombings,rescue,bombing,rescue,BEFORE
conference,rescue,conference,rescue,AFTER
speaking,said,speaking,say,IDENTITY
speaking,conference,speaking,conference,IS_INCLUDED
bombings,bombings,bombing,bombing,IDENTITY
dealt,bombings,deal,bombing,BEGUN_BY
counting,dealt,count,deal,AFTER
blasts,counting,blast,count,BEGINS
pay,compensate,pay,compensate,INCLUDES
approve,compensate,approve,compensate,BEFORE
approve,pay,approve,pay,BEFORE
pledged,ask,pledge,ask,BEFORE
