tempMarkerText,tempmarkerpos_BETWEEN,tempmarkerpos_BEFORE,tempmarkerpos_AFTER,tempmarkerpos_BEGIN,tempmarkerpos_BEGIN-BETWEEN,tempmarkerpos_BEGIN-BEFORE,label
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,ENDED_BY
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
as,1,0,0,0,0,0,IS_INCLUDED
as,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
in,1,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
in,0,0,1,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
in,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
from,0,0,1,0,0,0,IS_INCLUDED
in,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,DURING
