tempMarkerText,tempmarkerpos_BETWEEN,tempmarkerpos_BEFORE,tempmarkerpos_AFTER,tempmarkerpos_BEGIN,tempmarkerpos_BEGIN-BETWEEN,tempmarkerpos_BEGIN-BEFORE,causMarkerText,causmarkerpos_BETWEEN,causmarkerpos_BEFORE,causmarkerpos_AFTER,causmarkerpos_BEGIN,causmarkerpos_BEGIN-BETWEEN,causmarkerpos_BEGIN-BEFORE,label
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
at the same time,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
as,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
as,0,0,0,0,1,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
as,1,0,0,0,0,0,as,1,0,0,0,0,0,SIMULTANEOUS
as,0,0,0,0,1,0,O,0,0,0,0,0,0,BEFORE
as,1,0,0,0,0,0,as,1,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,SIMULTANEOUS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,SIMULTANEOUS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
into,0,0,1,0,0,0,from,1,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,under,0,0,1,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,from,0,0,0,0,1,0,AFTER
O,0,0,0,0,0,0,from,0,0,0,0,1,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
following,0,0,0,0,0,1,following,0,0,0,0,0,1,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
following,0,0,0,0,0,1,following,0,0,0,0,0,1,BEFORE
following,0,0,0,0,0,1,following,0,0,0,0,0,1,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,SIMULTANEOUS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,so,1,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,cause is,0,0,0,0,1,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,SIMULTANEOUS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,SIMULTANEOUS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEGINS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,by,1,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,by,1,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,by,1,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IAFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
also,0,0,0,0,1,0,O,0,0,0,0,0,0,BEFORE
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
since,1,0,0,0,0,0,since,1,0,0,0,0,0,AFTER
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
as,0,0,1,0,0,0,as,0,0,1,0,0,0,SIMULTANEOUS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
as,0,0,0,0,1,0,O,0,0,0,0,0,0,INCLUDES
as,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
also,0,0,0,0,0,1,O,0,0,0,0,0,0,BEFORE
also,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
also,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
as,0,0,0,0,1,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
as,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
as,0,0,1,0,0,0,because of,1,0,0,0,0,0,AFTER
because,0,0,1,0,0,0,because of,0,0,1,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,by,1,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,by,0,0,1,0,0,0,AFTER
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,BEGINS
also,0,0,0,1,0,0,O,0,0,0,0,0,0,INCLUDES
also,0,0,0,1,0,0,O,0,0,0,0,0,0,BEFORE
also,0,0,0,1,0,0,O,0,0,0,0,0,0,BEFORE
also,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
also,0,0,0,1,0,0,O,0,0,0,0,0,0,BEFORE
also,0,0,0,0,1,0,O,0,0,0,0,0,0,BEFORE
then,0,0,0,0,1,0,then,0,0,0,0,0,1,INCLUDES
then,0,0,0,0,1,0,then,0,0,0,0,0,1,IS_INCLUDED
then,0,0,0,0,1,0,then,0,0,0,0,0,1,INCLUDES
before,1,0,0,0,0,0,then,1,0,0,0,0,0,BEFORE
then,0,0,0,0,1,0,then,0,0,0,0,1,0,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
also,0,0,0,0,0,1,O,0,0,0,0,0,0,BEFORE
then,0,0,0,0,1,0,O,0,0,0,0,0,0,INCLUDES
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,AFTER
since,1,0,0,0,0,0,since,1,0,0,0,0,0,AFTER
then,0,0,0,0,1,0,O,0,0,0,0,0,0,INCLUDES
then,0,0,0,1,0,0,O,0,0,0,0,0,0,DURING
then,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
then,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
then,0,0,0,0,1,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
next,1,0,0,0,0,0,by,1,0,0,0,0,0,AFTER
next,1,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
before,0,0,0,0,1,0,after,0,0,0,0,0,1,INCLUDES
before,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
before,0,0,1,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
before,0,0,1,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
before,0,0,1,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
before,0,0,0,0,1,0,after,0,0,0,0,0,1,BEFORE
when,1,0,0,0,0,0,from,1,0,0,0,0,0,BEFORE
when,1,0,0,0,0,0,from,1,0,0,0,0,0,AFTER
when,1,0,0,0,0,0,from,0,0,1,0,0,0,AFTER
when,1,0,0,0,0,0,from,0,0,1,0,0,0,IDENTITY
before,1,0,0,0,0,0,after,0,0,0,1,0,0,BEFORE
after,1,0,0,0,0,0,after,1,0,0,0,0,0,IAFTER
meanwhile,0,0,0,0,1,0,after,0,0,0,0,1,0,INCLUDES
after,1,0,0,0,0,0,after,1,0,0,0,0,0,IS_INCLUDED
after,1,0,0,0,0,0,after,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,from,1,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
meanwhile,0,0,0,0,1,0,O,0,0,0,0,0,0,SIMULTANEOUS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
next,1,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
after,0,0,0,0,0,1,after,0,0,0,0,0,1,IDENTITY
O,0,0,0,0,0,0,have,1,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,have,1,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,DURING
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IBEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,O,0,0,0,0,0,0,SIMULTANEOUS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
after,0,0,0,1,0,0,after,0,0,0,1,0,0,BEGINS
after,1,0,0,0,0,0,after,1,0,0,0,0,0,INCLUDES
after,0,0,0,0,1,0,after,0,0,0,0,1,0,IDENTITY
after,1,0,0,0,0,0,after,1,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEGINS
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,O,0,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,in response to,1,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,in response to,1,0,0,0,0,0,IDENTITY
O,0,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,O,0,0,0,0,0,0,AFTER
as,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
as,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
initially,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
initially,1,0,0,0,0,0,O,0,0,0,0,0,0,BEFORE
as,0,0,0,0,1,0,O,0,0,0,0,0,0,IDENTITY
