token1,token2,lemma1,lemma2,label
said,O,say,O,BEFORE
refused,O,refuse,O,BEFORE
said,O,say,O,BEFORE
said,O,say,O,BEFORE
said,O,say,O,BEFORE
went,Friday,go,friday,INCLUDES
exploded,Friday,explode,friday,IS_INCLUDED
said,O,say,O,BEFORE
claimed,O,claim,O,ENDED_BY
said,O,say,O,BEFORE
blew,O,blow,O,BEFORE
blast,Friday,blast,friday,IS_INCLUDED
claimed,Saturday,claim,saturday,IS_INCLUDED
appears,Saturday,appear,saturday,IS_INCLUDED
bombings,Friday,bombing,friday,IS_INCLUDED
said,Saturday,say,saturday,IS_INCLUDED
expected,Saturday,expect,saturday,IS_INCLUDED
missing,Saturday,miss,saturday,IS_INCLUDED
broke,Saturday,break,saturday,IS_INCLUDED
said,Saturday,say,saturday,IS_INCLUDED
injured,Friday,injure,friday,IS_INCLUDED
killed,Friday,kill,friday,IS_INCLUDED
cleared,Saturday,clear,saturday,IS_INCLUDED
bombings,Friday,bombing,friday,IS_INCLUDED
shook,O,shake,O,BEFORE
plagues,Saturday,plague,saturday,BEFORE
swaying,Saturday,sway,saturday,BEFORE
said,Saturday,say,saturday,IS_INCLUDED
prevented,Saturday,prevent,saturday,BEFORE
shook,Saturday,shake,saturday,IS_INCLUDED
discharged,Monday,discharge,monday,BEFORE
Treated,Monday,treated,monday,BEFORE
Injured,Monday,injured,monday,BEFORE
bombings,Monday,bombing,monday,BEFORE
said,Tuesday,say,tuesday,IS_INCLUDED
extend,Tuesday,extend,tuesday,IS_INCLUDED
offered,Tuesday,offer,tuesday,IS_INCLUDED
bombings,Tuesday,bombing,tuesday,BEFORE
condemned,Tuesday,condemn,tuesday,IS_INCLUDED
said,O,say,O,BEFORE
adopted,O,adopt,O,BEFORE
called,O,call,O,BEFORE
condemned,O,condemn,O,BEFORE
said,Thursday,say,thursday,IS_INCLUDED
incidents,Aug. 7,incident,aug. 7,IS_INCLUDED
attacks,Aug. 7,attack,aug. 7,IS_INCLUDED
resolution,Thursday,resolution,thursday,BEFORE
bombing,Aug. 7,bombing,aug. 7,IS_INCLUDED
condemned,Thursday,condemn,thursday,IS_INCLUDED
urged,O,urge,O,BEFORE
denied,O,deny,O,BEFORE
said,O,say,O,BEFORE
conference,O,conference,O,BEFORE
said,O,say,O,BEFORE
helped,O,help,O,BEFORE
allowed,O,allow,O,BEFORE
handed,O,hand,O,BEFORE
laid,O,lay,O,BEFORE
scheduled,O,schedule,O,BEFORE
overheated,O,overheat,O,BEFORE
spent,O,spend,O,BEFORE
arriving,O,arrive,O,BEFORE
hoped,O,hope,O,BEFORE
arrived,O,arrive,O,BEFORE
urged,today,urge,today,IS_INCLUDED
flown,today,fly,today,IS_INCLUDED
left,today,leave,today,IS_INCLUDED
said,last week,say,last week,IS_INCLUDED
arrests,Tuesday,arrest,tuesday,BEFORE
denied,Tuesday,deny,tuesday,IS_INCLUDED
reported,now,report,now,BEFORE
elaborate,now,elaborate,now,IS_INCLUDED
said,now,say,now,IS_INCLUDED
draw,now,draw,now,IS_INCLUDED
said,Tuesday,say,tuesday,IS_INCLUDED
investigation,Tuesday,investigation,tuesday,DURING
conference,five hours,conference,five hour,IS_INCLUDED
counting,Tuesday,count,tuesday,IS_INCLUDED
visit,five-hour,visit,five-hour,IS_INCLUDED
scheduled,Tuesday,schedule,tuesday,BEFORE
spent,five hours,spend,five hour,IS_INCLUDED
flight,16-hour,flight,16-hour,IS_INCLUDED
questioning,three days,question,three day,IS_INCLUDED
said,Monday,say,monday,IS_INCLUDED
arrived,Tuesday,arrive,tuesday,IS_INCLUDED
bombing,Aug. 7,bombing,aug. 7,IS_INCLUDED
visit,Tuesday,visit,tuesday,IS_INCLUDED
said,O,say,O,BEFORE
said,Friday,say,friday,IS_INCLUDED
taken,Thursday,take,thursday,IS_INCLUDED
said,Friday,say,friday,IS_INCLUDED
launched,Thursday,launch,thursday,IS_INCLUDED
Retaliating,Thursday,retaliate,thursday,IS_INCLUDED
bombings,this month,bombing,this month,IS_INCLUDED
said,Friday,say,friday,IS_INCLUDED
actions,Aug. 7,action,aug. 7,IS_INCLUDED
defend,Friday,defend,friday,BEFORE
said,O,say,O,BEFORE
said,O,say,O,BEFORE
hospitalized,O,hospitalize,O,BEFORE
continued,O,continue,O,BEFORE
said,Wednesday,say,wednesday,IS_INCLUDED
said,Wednesday,say,wednesday,IS_INCLUDED
visit,September,visit,september,IS_INCLUDED
met,Wednesday,meet,wednesday,IS_INCLUDED
ended,Aug. 7,end,aug. 7,IS_INCLUDED
interrupted,Aug. 7,interrupt,aug. 7,IS_INCLUDED
wrapped,Wednesday,wrap,wednesday,IS_INCLUDED
said,O,say,O,BEFORE
handed,O,hand,O,BEFORE
reached,O,reach,O,BEFORE
searched,Sept. 2,search,sept. 2,IS_INCLUDED
raided,Sept. 2,raid,sept. 2,IS_INCLUDED
share,Friday,share,friday,INCLUDES
said,Friday,say,friday,IS_INCLUDED
said,Friday,say,friday,IS_INCLUDED
refused,Sunday,refuse,sunday,IS_INCLUDED
said,Sunday,say,sunday,IS_INCLUDED
allege,Friday,allege,friday,IS_INCLUDED
trial,Friday,trial,friday,AFTER
handed,Friday,hand,friday,BEFORE
bombing,last month,bombing,last month,IS_INCLUDED
bombings,last month,bombing,last month,IS_INCLUDED
reached,Friday,reach,friday,IS_INCLUDED
said,Friday,say,friday,IS_INCLUDED
disclosed,Friday,disclose,friday,IS_INCLUDED
bombing,last month,bombing,last month,IS_INCLUDED
reported,Friday,report,friday,IS_INCLUDED
contributed,O,contribute,O,BEFORE
requested,O,request,O,BEFORE
said,O,say,O,BEFORE
led,O,lead,O,BEFORE
pay,Friday,pay,friday,IS_INCLUDED
contributed,Wednesday,contribute,wednesday,BEFORE
requested,Wednesday,request,wednesday,BEFORE
said,Wednesday,say,wednesday,IS_INCLUDED
said,Wednesday,say,wednesday,IS_INCLUDED
consider,Wednesday,consider,wednesday,AFTER
meeting,Wednesday,meet,wednesday,IS_INCLUDED
leave,Thursday,leave,thursday,IS_INCLUDED
worked,1995,work,1995,IS_INCLUDED
bombing,1995,bombing,1995,IS_INCLUDED
bombings,Aug. 7,bombing,aug. 7,IS_INCLUDED
disasters,future,disaster,future,IS_INCLUDED
meet,future,meet,future,IS_INCLUDED
bombing,Wednesday,bombing,wednesday,BEFORE
conference,Wednesday,conference,wednesday,IS_INCLUDED
led,Wednesday,lead,wednesday,IS_INCLUDED
serve,O,serve,O,AFTER
saying,O,say,O,BEFORE
been,O,be,O,BEFORE
prepared,O,prepare,O,BEFORE
join,April,join,april,IS_INCLUDED
ending,Saturday,end,saturday,BEFORE
planning,O,plan,O,AFTER
planning,O,planning,O,AFTER
joining,April,join,april,INCLUDES
said,two-day,say,two-day,DURING_INV
said,Saturday,say,saturday,IS_INCLUDED
visit,two-day,visit,two-day,IS_INCLUDED
summit,April,summit,april,IS_INCLUDED
participate,O,participate,O,IS_INCLUDED
marking,O,mark,O,AFTER
marking,April,mark,april,IS_INCLUDED
join,April,join,april,IS_INCLUDED
expected,O,expect,O,IS_INCLUDED
became,early this week,become,early this week,IS_INCLUDED
said,Saturday,say,saturday,IS_INCLUDED
said,Saturday,say,saturday,IS_INCLUDED
approved,O,approve,O,BEFORE
participate,O,participate,O,IS_INCLUDED
said,O,say,O,IS_INCLUDED
been,two weeks,be,two week,DURING_INV
said,O,say,O,IS_INCLUDED
discovered,last month,discover,last month,IS_INCLUDED
spotted,weeks,spot,week,IS_INCLUDED
said,O,say,O,IS_INCLUDED
shows,O,show,O,INCLUDES
said,O,say,O,IS_INCLUDED
leading,O,lead,O,INCLUDES
have,O,have,O,INCLUDES
shooting,O,shooting,O,BEFORE
driven,O,drive,O,BEFORE
believe,O,believe,O,INCLUDES
said,O,say,O,IS_INCLUDED
hunt,Last week,hunt,last week,INCLUDES
join,Last week,join,last week,BEGUN_BY
asked,Last week,ask,last week,IS_INCLUDED
visit,Last week,visit,last week,IS_INCLUDED
fired,Friday,fire,friday,BEFORE
stood,Friday,stand,friday,BEFORE
believe,Friday,believe,friday,INCLUDES
buried,Friday,bury,friday,BEFORE
found,Friday,find,friday,BEFORE
was,Friday,be,friday,BEFORE
