@relation te3-ee

@attribute token1 {0,1}
@attribute token2 {0,1}
@attribute lemma1 {0,1}
@attribute lemma2 {0,1}
@attribute tokenchunk1 {0,1}
@attribute tokenchunk2 {0,1}
@attribute tempMarkerText {0,1}
@attribute causMarkerText {0,1}
@attribute label {BEFORE, AFTER, IBEFORE, IAFTER, IDENTITY, SIMULTANEOUS, INCLUDES, IS_INCLUDED, DURING, DURING_INV, BEGINS, BEGUN_BY, ENDS, ENDED_BY}

@data
injured,said,injure,say,injured,said,O,O,BEFORE
exploded,injured,explode,injure,exploded,injured,O,O,BEFORE
exploded,said,explode,say,exploded,said,O,O,BEFORE
exploded,went,explode,go,exploded,went,O,O,IS_INCLUDED
exploded,refused,explode,refuse,exploded,refused to identify,O,O,BEFORE
exploded,said,explode,say,exploded,said,O,O,BEFORE
exploded,injured,explode,injure,exploded,injured,O,O,BEFORE
exploded,see,explode,see,exploded,can see,O,O,BEFORE
went,said,go,say,went,said,at the same time,O,BEFORE
said,refused,say,refuse,said,refused to identify,O,O,BEFORE
exploded,said,explode,say,exploded,said,O,O,BEFORE
injured,said,injure,say,injured,said,O,O,BEFORE
said,injured,say,injure,said,injured,O,O,AFTER
killing,said,kill,say,killing,said,O,O,BEFORE
exploded,killing,explode,kill,exploded,killing,O,O,IBEFORE
injured,attack,injure,attack,more than 1COMMA700 injured,attack,as,O,AFTER
injured,bombings,injure,bombing,more than 1COMMA700 injured,The suspected car bombings,as,O,AFTER
bombings,attack,bombing,attack,The suspected car bombings,attack,O,O,INCLUDES
bombings,injured,bombing,injure,Terrorist bombings,more than 1COMMA700 injured,O,O,BEFORE
bombings,bombings,bombing,bombing,Terrorist bombings,The suspected car bombings,as,O,IDENTITY
blast,said,blast,say,The blast,said,O,O,BEFORE
blast,wounded,blast,wounded,The blast,1COMMA643 wounded,O,O,BEFORE
blast,killed,blast,kill,The blast,were killed,O,O,BEFORE
killed,said,kill,say,were killed,said,O,O,BEFORE
blast,toppling,blast,toppling,The blast,toppling,O,O,BEFORE
injured,claimed,injure,claim,more than 1COMMA700 injured,has claimed,as,O,BEFORE
claimed,blast,claim,blast,has claimed,The blast,O,O,AFTER
attack,claimed,attack,claim,attack,has claimed,O,O,BEFORE
bombings,claimed,bombing,claim,The suspected car bombings,has claimed,O,O,BEFORE
bombings,claimed,bombing,claim,Terrorist bombings,has claimed,as,O,BEFORE
injured,said,injure,say,more than 1COMMA700 injured,said,as,O,BEFORE
said,blast,say,blast,said,The blast,O,O,AFTER
attack,said,attack,say,attack,said,O,O,BEFORE
bombings,said,bombing,say,The suspected car bombings,said,O,O,BEFORE
bombings,said,bombing,say,Terrorist bombings,said,as,O,BEFORE
injured,appears,injure,appear,more than 1COMMA700 injured,appears to have been,as,O,BEFORE
appears,blast,appear,blast,appears to have been,The blast,O,O,AFTER
bombings,appears,bombing,appear,The suspected car bombings,appears to have been,O,O,BEFORE
bombings,appears,bombing,appear,Terrorist bombings,appears to have been,as,O,BEFORE
turning,attack,turn,attack,turning,attack,O,O,AFTER
bombings,turning,bombing,turn,Terrorist bombings,turning,as,O,BEFORE
injured,said,injure,say,more than 1COMMA700 injured,said,as,O,BEFORE
said,blast,say,blast,said,The blast,O,O,AFTER
said,attack,say,attack,said,attack,O,O,AFTER
