e55	e56	think	think	think	think	VVI	VVI	2	0	I_STATE	I_STATE	PRESENT	PRESENT	NONE	NONE	COORD-CONJ	MAIN|O	O	O	O	SIMULTANEOUS
e19	e20	sold	said	sell	say	VVD	VVD	1	0	OCCURRENCE	REPORTING	PAST	PAST	NONE	NONE	COORD-CONJ	MAIN|O	O	O	O	SIMULTANEOUS
e67	e368	goes	recession	go	recession	NN0	NN1	1	0	OCCURRENCE	OCCURRENCE	PRESENT	NONE	NONE	NONE	ADV-PMOD	O|O	as	BETWEEN	as	BEGINS
e53	e54	talking	layoffs	talk	layoff	VVG	NN2	1	0	OCCURRENCE	OCCURRENCE	PRESENT	NONE	PROGRESSIVE	NONE	ADV-PMOD	MAIN|O	O	O	O	BEFORE
e48	e50	get	discounts	get	discount	VVB	NN2	1	0	OCCURRENCE	OCCURRENCE	PRESENT	PRESENT	NONE	NONE	OBJ	MAIN|O	O	O	O	SIMULTANEOUS
e44	e46	downturn	spending	downturn	spend	NN1	VVG	1	0	OCCURRENCE	OCCURRENCE	PRESENT	PRESENT	NONE	PROGRESSIVE	O	O|O	O	O	O	BEFORE
e26	e28	construction	backed	construction	back	NN1	VVN	1	0	OCCURRENCE	OCCURRENCE	NONE	PRESENT	NONE	PERFECTIVE	ADV-PMOD	O|MAIN	O	O	under	INCLUDES
e16	e19	spent	sold	spend	sell	VVD	VVD	3	1	OCCURRENCE	OCCURRENCE	PAST	PAST	NONE	NONE	O	O|MAIN	when	BEGIN-BETWEEN	so	BEFORE
e16	e17	spent	thought	spend	think	VVD	VVD	1	0	OCCURRENCE	I_STATE	PAST	PAST	NONE	NONE	TMP	O|MAIN	when	BETWEEN	so	SIMULTANEOUS
e3	e4	assistance	helping	assistance	help	NN1	VVG	1	0	OCCURRENCE	OCCURRENCE	PRESENT	PRESENT	PROGRESSIVE	PROGRESSIVE	SBJ	O|MAIN	O	O	from	BEFORE

e34	e36	go	coming	go	come	VVI	VVG	1	0	OCCURRENCE	OCCURRENCE	PRESENT	PRESPART	NONE	NONE	COORD-CONJ-ADV	O|O	O	O	from	BEFORE
e30	e33	blew	saw	blow	see	VVD	VVD	1	0	OCCURRENCE	PERCEPTION	PAST	PAST	NONE	NONE	COORD-CONJ	MAIN|O	then	BETWEEN	therefore	BEFORE
e20	e30	explosion	blew	explosion	blow	NN1	VVD	8	7	OCCURRENCE	OCCURRENCE	PAST	PAST	NONE	NONE	O	O|MAIN	later	BEGIN-BETWEEN	if	IDENTITY
e21	e30	went	blew	go	blow	VVD	VVD	7	6	OCCURRENCE	OCCURRENCE	PAST	PAST	NONE	NONE	O	MAIN|MAIN	later	BEGIN-BETWEEN	if	INCLUDES
e61	e28	response	asks	response	ask	NN1	NN0	1	1	OCCURRENCE	OCCURRENCE	NONE	PRESENT	NONE	NONE	O	O|O	later	BEGIN-BETWEEN	O	BEFORE
e22	e61	tries	response	try	response	NN0	NN1	4	2	I_ACTION	OCCURRENCE	PRESENT	NONE	NONE	NONE	O	O|O	O	O	if	BEFORE
e26	e60	hear	ident	hear	ident	AJ0	NN1	1	0	PERCEPTION	OCCURRENCE	NONE	NONE	NONE	NONE	PRN-SUB-NMOD	O|O	if	BETWEEN	if	BEFORE
e18	e22	calls	tries	call	try	NN2	NN0	4	3	REPORTING	I_ACTION	PRESENT	PRESENT	NONE	NONE	O	O|O	O	O	O	BEFORE
e2	e21	went	went	go	go	VVD	VVD	9	7	OCCURRENCE	OCCURRENCE	PAST	PAST	NONE	NONE	O	O|MAIN	O	O	O	IDENTITY
e3	e20	exploded	explosion	explode	explosion	VVD	NN1	7	5	OCCURRENCE	OCCURRENCE	PAST	PAST	NONE	NONE	O	O|O	O	O	O	IDENTITY
e20	e21	explosion	went	explosion	go	NN1	VVD	1	1	OCCURRENCE	OCCURRENCE	PAST	PAST	NONE	NONE	O	O|MAIN	O	O	O	IS_INCLUDED
e10	e18	conversation	calls	conversation	call	NN1	NN2	4	2	OCCURRENCE	REPORTING	NONE	PRESENT	NONE	NONE	O	O|O	O	O	O	BEFORE
e13	e15	maintain	maintain	maintain	maintain	VVB	VVB	1	1	OCCURRENCE	OCCURRENCE	NONE	PRESENT	NONE	NONE	O	O|O	O	O	O	BEFORE
e2	e3	went	exploded	go	explode	VVD	VVD	1	1	OCCURRENCE	OCCURRENCE	PAST	PAST	NONE	NONE	O	O|O	O	O	O	INCLUDES
e1	e2	released	went	release	go	VVD	VVD	1	0	OCCURRENCE	OCCURRENCE	PAST	PAST	NONE	NONE	OBJ-NMOD-PMOD	MAIN|O	O	O	from	AFTER
e38	e43	became	said	become	say	VVD	VVD	2	0	I_STATE	OCCURRENCE	PAST	PAST	NONE	NONE	TMP-PMOD-NMOD	O|MAIN	when	BETWEEN	O	BEFORE
e235	e43	contact	said	contact	say	VVB	VVD	1	0	OCCURRENCE	OCCURRENCE	NONE	PAST	NONE	NONE	TMP-PMOD-NMOD-PRD-VC	O|MAIN	when	BEGIN	O	IBEFORE

e67	e112	visit	open	visit	open	NN1	VVB	1	0	OCCURRENCE	ASPECTUAL	PAST	NONE	NONE	NONE	SBJ	O|MAIN	afterwards	BETWEEN	therefore	BEFORE
e66	e112	break	open	break	open	VVB	VVB	2	1	OCCURRENCE	ASPECTUAL	INFINITIVE	NONE	NONE	NONE	O	O|MAIN	afterwards	BEGIN-BETWEEN	so	BEFORE
e63	e64	visit	persuade	visit	persuade	NN1	VVB	1	0	OCCURRENCE	I_ACTION	FUTURE	FUTURE	NONE	NONE	SBJ	O|O	O	O	O	BEFORE
e42	e53	visit	disappointed	visit	disappoint	NN1	VVN	7	2	OCCURRENCE	STATE	PRESENT	PASTPART	NONE	NONE	O	O|MAIN	before	BEGIN-BETWEEN	O	BEFORE
e51	e53	looking	disappointed	look	disappoint	VVG	VVN	2	0	I_ACTION	STATE	PRESPART	PASTPART	NONE	NONE	SBJ-APPO	O|MAIN	O	O	O	BEFORE
e42	e51	visit	looking	visit	look	NN1	VVG	5	2	OCCURRENCE	I_ACTION	PRESENT	PRESPART	NONE	NONE	O	O|O	before	BEGIN-BETWEEN	O	AFTER
e48	e50	bring	change	bring	change	VVI	VVB	1	0	OCCURRENCE	OCCURRENCE	PRESENT	INFINITIVE	NONE	NONE	OBJ-NMOD-IM	MAIN|O	in_turn	BETWEEN	O	BEFORE
e44	e45	led	begin	lead	begin	VVN	VVB	1	0	OCCURRENCE	ASPECTUAL	PASTPART	PRESENT	NONE	NONE	SBJ-APPO	O|O	still	BETWEEN	by	INCLUDES
e11	e42	come	visit	come	visit	VVB	NN1	16	8	OCCURRENCE	OCCURRENCE	INFINITIVE	PRESENT	NONE	NONE	O	O|O	as	BEGIN-BETWEEN	O	IS_INCLUDED
e32	e42	invite	visit	invite	visit	VVB	NN1	5	1	OCCURRENCE	OCCURRENCE	INFINITIVE	PRESENT	NONE	NONE	O	O|O	as	BEGIN-BETWEEN	O	BEFORE
e103	e42	advanced	visit	advance	visit	VVD	NN1	1	0	REPORTING	OCCURRENCE	PAST	PRESENT	NONE	NONE	TMP-SUB-SBJ	MAIN|O	before	BETWEEN	O	BEFORE
e35	e38	say	make	say	make	VVB	VVI	1	0	REPORTING	I_ACTION	INFINITIVE	PRESENT	NONE	NONE	OBJ-PRD-AMOD-SUB	O|O	as	BETWEEN	as	AFTER
e32	e100	invite	able	invite	able	VVB	AJ0	1	0	OCCURRENCE	I_STATE	INFINITIVE	INFINITIVE	NONE	NONE	O	O|O	O	O	O	BEFORE
e9	e32	invited	invite	invite	invite	VVD	VVB	12	7	OCCURRENCE	OCCURRENCE	PAST	INFINITIVE	NONE	NONE	O	MAIN|O	O	O	O	IDENTITY
