token1,token2,lemma1,lemma2,pos,mainpos,chunk,ner,samePos,sameMainPos,entDistance,sentDistance,eventClass1|eventClass2,tense1|tense2,aspect1|aspect2,polarity1|polarity2,sameEventClass,sameTense,sameAspect,samePolarity,depPath,mainVerb1|mainVerb2,tempMarkerClusText-Position,tempMarkerDep1-Dep2,causMarkerClusText-Position,causMarkerDep1-Dep2,coref,wnSim,label
season,killed,season,kill,NN1|VVN,n|v,I-NP|I-VP,O|O,FALSE,FALSE,1,0,OCCURRENCE|OCCURRENCE,PRESENT|PRESENT,PROGRESSIVE|PERFECTIVE,pos|pos,TRUE,TRUE,FALSE,TRUE,O,O|O,O|O,O|O,so|AFTER,O|VC-TMP,NOCOREF,0.10123076623441425,INCLUDES
started,ended,start,end,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,5,1,ASPECTUAL|ASPECTUAL,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,NOCOREF,-0.0,BEFORE
started,sparking,start,spark,VVD|VVG,v|v,B-VP|B-NP,O|O,FALSE,TRUE,2,0,ASPECTUAL|ASPECTUAL,PAST|NONE,NONE|NONE,pos|NONE,TRUE,FALSE,TRUE,FALSE,ADV,MAIN|O,earlier|BETWEEN,TMP|O,O|O,O|O,NOCOREF,0.4585118970562663,SIMULTANEOUS
started,turn,start,turn,VVD|VVB,v|v,B-VP|I-VP,O|O,FALSE,TRUE,3,0,ASPECTUAL|OCCURRENCE,PAST|PRESENT,NONE|NONE,pos|pos,FALSE,FALSE,TRUE,TRUE,ADV-OBJ-VC,MAIN|O,earlier|BETWEEN,TMP|O,O|O,O|O,NOCOREF,0.09059214847358134,BEFORE
ended,said,end,say,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,5,1,ASPECTUAL|REPORTING,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,O,MAIN|MAIN,O|O,O|O,O|O,O|O,NOCOREF,0.0,BEFORE
ended,according,end,accord,VVD|VVG,v|v,B-VP|B-PP,O|O,FALSE,TRUE,1,0,ASPECTUAL|REPORTING,PAST|NONE,NONE|NONE,pos|NONE,FALSE,FALSE,TRUE,FALSE,COORD-CONJ-ADV,MAIN|O,O|O,O|O,O|O,O|O,NOCOREF,-0.0,BEFORE
reported,said,report,say,VVN|VVD,v|v,I-VP|B-VP,O|O,FALSE,TRUE,2,0,REPORTING|REPORTING,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,OBJ-VC,O|MAIN,O|O,O|O,CAUSE-AMBIGUOUS|BETWEEN,COORD-CONJ|OBJ-COORD-CONJ,NOCOREF,0.0,BEFORE
said,said,say,say,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,1,0,REPORTING|REPORTING,PAST|PAST,NONE|NONE,pos|pos,TRUE,TRUE,TRUE,TRUE,OBJ,MAIN|O,O|O,O|O,O|O,O|O,COREF,1.7976931348623157E308,SIMULTANEOUS
pandemic,died,pandemic,die,NN1|VVD,n|v,I-NP|B-VP,O|O,FALSE,FALSE,1,0,OCCURRENCE|OCCURRENCE,NONE|PAST,NONE|NONE,NONE|pos,TRUE,FALSE,TRUE,FALSE,NMOD-PMOD-NMOD,O|O,when|BETWEEN,NMOD-PMOD-NMOD-TMP|TMP,O|O,O|O,NOCOREF,0.0,INCLUDES
died,said,die,say,VVD|VVD,v|v,B-VP|B-VP,O|O,TRUE,TRUE,3,0,OCCURRENCE|REPORTING,PAST|PAST,NONE|NONE,pos|pos,FALSE,TRUE,TRUE,TRUE,OBJ-SBJ-NMOD,O|MAIN,O|O,O|O,CAUSE-AMBIGUOUS|BETWEEN,O|OBJ-COORD-CONJ-VC,NOCOREF,0.0,BEFORE
