token_e1,token_e2,lemma_e1,lemma_e2,pos_e1|pos_e2,mainpos_e1|mainpos_e2,chunk_e1|chunk_e2,ner_e1|ner_e2,same_pos,same_mainpos,ent_distance,sent_distance,ent_order,evclass_e1,tense-aspect_e1,pol_e1,tmxtype-value_e2,tmxdct_e2,deprel,ismainverb,temp_marker-position,temp_marker_deprel,timexrule, label
exploded,Friday,explode,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,LOC-PMOD-COORD-CONJ,O,in|BETWEEN,LOC|PMOD-COORD-CONJ,O,IS_INCLUDED
went,Friday,go,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,9,3,AFTER,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,INCLUDES
said,O,say,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,REPORTING,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,MAIN,O|O,O,O,BEFORE
said,O,say,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,REPORTING,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,MAIN,O|O,O,O,BEFORE
said,O,say,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,REPORTING,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,MAIN,O|O,O,O,BEFORE
refused,O,refuse,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,OCCURRENCE,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,O,O|O,O,O,BEFORE
said,O,say,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,REPORTING,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,MAIN,O|O,O,O,BEFORE
bombings,Friday,bombing,friday,NN2|NP0,n|pn,I-NP|B-NP,O|O,FALSE,FALSE,14,3,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
blew,O,blow,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,OCCURRENCE,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,MAIN,O|O,O,O,BEFORE
cleared,Saturday,clear,saturday,VVN|NP0,v|n,I-VP|B-NP,O|O,FALSE,FALSE,5,1,BEFORE,OCCURRENCE,PASTPART|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
killed,Friday,kill,friday,VVN|NP0,v|pn,I-VP|B-NP,O|O,FALSE,FALSE,10,2,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
said,Saturday,say,saturday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,2,0,BEFORE,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP-SUB-TMP,MAIN,as|BETWEEN,TMP|SUB-TMP,O,IS_INCLUDED
